optimizer,lr,seed,fold,n_train,n_val,total_epochs,best_epoch,train_loss_final,val_loss_final,train_acc_final,val_acc_final,macro_precision,macro_recall,macro_f1,weighted_f1,time_seconds,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,precision_4,recall_4,f1_4,precision_5,recall_5,f1_5,precision_6,recall_6,f1_6,precision_7,recall_7,f1_7,precision_8,recall_8,f1_8,precision_9,recall_9,f1_9
momentum,0.0001,99,0,9956.0,2493.0,70.0,69.0,0.1142072764953687,0.2194668763945533,0.9709722780233024,0.9426393902928198,0.843831775468194,0.8302315292074981,0.8361064218765835,0.9422878044491388,6.158946990966797,0.973421926910299,0.9898648648648648,0.9815745393634842,0.956896551724138,0.9881305637982196,0.9722627737226278,0.9548611111111112,0.9228187919463088,0.938566552901024,0.9184952978056428,0.9543973941368078,0.9361022364217252,0.9405594405594404,0.9212328767123288,0.9307958477508652,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.9625850340136054,0.956081081081081,0.9593220338983052,0.948220064724919,0.9331210191082804,0.9406099518459068,0.0,0.0,0.0,0.8943894389438944,0.9093959731543624,0.9018302828618968
momentum,0.0001,99,1,9958.0,2491.0,70.0,69.0,0.1206769958622066,0.2663139469302239,0.9679654549106246,0.9369731031714172,0.8348343786150213,0.8208822322154058,0.8267746821005142,0.936661542121867,6.1368420124053955,0.9764309764309764,0.9797297297297296,0.9780775716694772,0.9758308157099698,0.9584569732937686,0.9670658682634732,0.8928571428571429,0.9228187919463088,0.9075907590759076,0.9290322580645162,0.9381107491856676,0.93354943273906,0.92,0.9452054794520548,0.9324324324324323,0.8372093023255814,0.6666666666666666,0.7422680412371134,0.9655172413793104,0.945945945945946,0.955631399317406,0.910493827160494,0.9424920127795527,0.9262166405023547,0.0,0.0,0.0,0.9409722222222222,0.9093959731543624,0.924914675767918
momentum,0.0001,99,2,9960.0,2489.0,70.0,69.0,0.1147680727963878,0.2313212453982301,0.9694779116465864,0.9381277621534752,0.8471496003147987,0.8231178947384269,0.8324654926165211,0.9376925922474888,6.181883096694946,0.937908496732026,0.9695945945945946,0.9534883720930232,0.9909638554216867,0.9762611275964392,0.98355754857997,0.943661971830986,0.8993288590604027,0.9209621993127148,0.940983606557377,0.937908496732026,0.939443535188216,0.9448275862068966,0.9383561643835616,0.9415807560137458,0.9736842105263158,0.6851851851851852,0.8043478260869565,0.9288025889967636,0.9695945945945946,0.9487603305785124,0.913312693498452,0.9424920127795527,0.9276729559748428,0.0,0.0,0.0,0.8973509933774835,0.9124579124579124,0.9048414023372288
momentum,0.0001,99,3,9960.0,2489.0,70.0,69.0,0.1166478894789608,0.2028719406723156,0.9697791164658636,0.9457613499397348,0.8431771597117365,0.8431702906210845,0.8431166584209816,0.945717807564136,6.151180744171143,0.9664429530201344,0.972972972972973,0.9696969696969696,0.9734513274336284,0.9792284866468842,0.9763313609467454,0.9302325581395348,0.9395973154362416,0.9348914858096828,0.939799331103679,0.9183006535947712,0.9289256198347108,0.9271523178807948,0.958904109589041,0.9427609427609428,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.9690721649484536,0.9527027027027029,0.960817717206133,0.9456869009584664,0.9456869009584664,0.9456869009584664,0.0,0.0,0.0,0.928082191780822,0.9124579124579124,0.9202037351443124
momentum,0.0001,99,4,9962.0,2487.0,70.0,69.0,0.109484979397378,0.2349441059315182,0.9719935755872314,0.9264173703256936,0.8138592478992033,0.8119038948445614,0.8127792374970001,0.92631198607603,6.131396055221558,0.9464882943143812,0.956081081081081,0.9512605042016806,0.976470588235294,0.9851632047477744,0.980797636632201,0.9331103678929766,0.9393939393939394,0.9362416107382552,0.905844155844156,0.9117647058823528,0.9087947882736156,0.893687707641196,0.9212328767123288,0.9072512647554808,0.6923076923076923,0.6666666666666666,0.6792452830188679,0.9452054794520548,0.9355932203389832,0.9403747870528107,0.9464882943143812,0.9041533546325878,0.9248366013071896,0.0,0.0,0.0,0.898989898989899,0.898989898989899,0.898989898989899
momentum,0.0005,42,0,9956.0,2493.0,70.0,40.0,0.0130055877530058,0.2268809194390539,0.9992969063881076,0.95146409947854,0.8438486870474258,0.848212197384728,0.8456649942956961,0.9514849442710076,6.210134029388428,0.9695945945945946,0.9695945945945946,0.9695945945945946,0.9793510324483776,0.9851632047477744,0.9822485207100592,0.9203821656050956,0.9697986577181208,0.9444444444444444,0.9719298245614036,0.9022801302931596,0.9358108108108107,0.9278688524590164,0.9691780821917808,0.948073701842546,0.7966101694915254,0.8545454545454545,0.8245614035087718,0.9761904761904762,0.9695945945945946,0.9728813559322034,0.9519230769230768,0.945859872611465,0.9488817891373802,0.0,0.0,0.0,0.944636678200692,0.9161073825503356,0.93015332197615
momentum,0.0005,42,1,9958.0,2491.0,70.0,35.0,0.012501152379855,0.2447963232094051,0.9994978911427996,0.948615014050582,0.8434188825557799,0.8407367318950755,0.8419990047986845,0.9484911348404368,6.101207971572876,0.96,0.972972972972973,0.9664429530201344,0.976470588235294,0.9851632047477744,0.980797636632201,0.9421768707482994,0.929530201342282,0.9358108108108107,0.9446254071661238,0.9446254071661238,0.944625407166124,0.9415807560137456,0.9383561643835616,0.9399656946826758,0.8269230769230769,0.7962962962962963,0.8113207547169811,0.969283276450512,0.9594594594594594,0.964346349745331,0.934984520123839,0.9648562300319488,0.949685534591195,0.0,0.0,0.0,0.9381443298969072,0.9161073825503356,0.9269949066213922
momentum,0.0005,42,2,9960.0,2489.0,70.0,40.0,0.0122611881805904,0.2030558418588599,0.9991967871485944,0.9453595821615106,0.8434712429992036,0.8306740903010776,0.8362329017169132,0.9449867011220372,6.154632091522217,0.9728813559322034,0.9695945945945946,0.9712351945854484,0.9821958456973294,0.9821958456973294,0.9821958456973294,0.9437086092715232,0.9563758389261744,0.95,0.9451612903225808,0.9575163398692812,0.9512987012987012,0.9328859060402684,0.952054794520548,0.9423728813559324,0.8636363636363636,0.7037037037037037,0.7755102040816326,0.9496644295302014,0.956081081081081,0.9528619528619529,0.9230769230769232,0.9201277955271564,0.9216,0.0,0.0,0.0,0.9215017064846416,0.9090909090909092,0.9152542372881356
momentum,0.0005,42,3,9960.0,2489.0,70.0,43.0,0.0123205066946239,0.2157258802201436,0.9995983935742973,0.948573724387304,0.8516538764204006,0.8316670810670775,0.8397145040918229,0.9480794444807004,6.101829767227173,0.9572368421052632,0.983108108108108,0.97,0.976401179941003,0.9821958456973294,0.9792899408284024,0.9303135888501742,0.8959731543624161,0.9128205128205128,0.9021406727828746,0.9640522875816994,0.9320695102685624,0.9618055555555556,0.9486301369863014,0.9551724137931036,0.925,0.6851851851851852,0.7872340425531915,0.9695945945945946,0.9695945945945946,0.9695945945945946,0.964516129032258,0.9552715654952076,0.9598715890850722,0.0,0.0,0.0,0.929530201342282,0.9326599326599326,0.93109243697479
momentum,0.0005,42,4,9962.0,2487.0,70.0,44.0,0.0126333148860626,0.189980452142992,0.9996988556514756,0.9537595496582228,0.8484812242174306,0.8481906381721543,0.8482609299525723,0.9537944005958312,6.165701866149902,0.979381443298969,0.9628378378378378,0.9710391822827938,0.9822485207100592,0.9851632047477744,0.9837037037037036,0.9581881533101044,0.925925925925926,0.9417808219178084,0.9206349206349206,0.9477124183006536,0.933977455716586,0.939799331103679,0.9623287671232876,0.9509306260575296,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.972508591065292,0.9593220338983052,0.9658703071672357,0.9487179487179488,0.9456869009584664,0.9472,0.0,0.0,0.0,0.95,0.9595959595959596,0.9547738693467336
