arch,seed,fold,n_train,n_val,total_epochs,best_epoch,train_loss_final,val_loss_final,train_acc_final,val_acc_final,macro_precision,macro_recall,macro_f1,weighted_f1,time_seconds,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,precision_4,recall_4,f1_4,precision_5,recall_5,f1_5,precision_6,recall_6,f1_6,precision_7,recall_7,f1_7,precision_8,recall_8,f1_8,precision_9,recall_9,f1_9
arch_wider,7,0,9956.0,2493.0,12.0,1.0,0.0178458048841567,0.2552414298099733,0.9856368019284854,0.945447252306458,0.8436899839909231,0.8339838565624911,0.8381330125145332,0.9451183083344435,3.7791411876678462,0.9632107023411371,0.972972972972973,0.9680672268907564,0.9484240687679084,0.9821958456973294,0.9650145772594751,0.9518900343642612,0.929530201342282,0.9405772495755518,0.9656357388316152,0.9153094462540716,0.9397993311036787,0.95985401459854,0.9006849315068494,0.9293286219081272,0.8541666666666666,0.7454545454545455,0.7961165048543689,0.9496644295302014,0.956081081081081,0.9528619528619529,0.9415384615384615,0.9745222929936306,0.9577464788732394,0.0,0.0,0.0,0.9025157232704404,0.9630872483221476,0.931818181818182
arch_wider,7,1,9958.0,2491.0,13.0,2.0,0.0002712733990009,0.1643207838215287,0.9926692106848763,0.965074267362505,0.8695753592818907,0.862165142833696,0.8656251727586902,0.965007277892991,3.813052892684937,0.9733333333333334,0.9864864864864864,0.9798657718120806,0.976470588235294,0.9851632047477744,0.980797636632201,0.9594594594594594,0.953020134228188,0.956228956228956,0.9603960396039604,0.9478827361563518,0.9540983606557376,0.9494949494949496,0.9657534246575342,0.9575551782682512,0.979591836734694,0.8888888888888888,0.9320388349514565,0.9765886287625418,0.9864864864864864,0.9815126050420168,0.9741100323624596,0.9616613418530352,0.9678456591639872,0.0,0.0,0.0,0.9463087248322148,0.9463087248322148,0.9463087248322148
arch_wider,7,2,9960.0,2489.0,15.0,4.0,0.0047317668382797,0.2968318495014762,0.9994979919678716,0.9578143832864604,0.8537156873195197,0.8407115355988483,0.846338791442992,0.9573723976125748,4.914517164230347,0.9700996677740864,0.9864864864864864,0.9782244556113904,0.9824046920821116,0.9940652818991098,0.9882005899705014,0.972318339100346,0.9429530201342282,0.9574105621805792,0.9640522875816994,0.9640522875816994,0.9640522875816994,0.938566552901024,0.9417808219178082,0.9401709401709402,0.8636363636363636,0.7037037037037037,0.7755102040816326,0.9668874172185432,0.9864864864864864,0.976588628762542,0.940625,0.9616613418530352,0.9510268562401264,0.0,0.0,0.0,0.938566552901024,0.925925925925926,0.9322033898305084
arch_wider,7,3,9960.0,2489.0,14.0,3.0,0.003223158968226,0.2690352206899405,0.9953815261044175,0.959019686621133,0.8504149199099839,0.8526806598771935,0.8514647666687972,0.959144319395328,4.383630752563477,0.976271186440678,0.972972972972973,0.9746192893401016,0.9850746268656716,0.9792284866468842,0.982142857142857,0.9727891156462584,0.959731543624161,0.9662162162162162,0.9570957095709572,0.9477124183006536,0.9523809523809524,0.9590443686006824,0.9623287671232876,0.9606837606837606,0.8035714285714286,0.8333333333333334,0.8181818181818182,0.9761092150170648,0.9662162162162162,0.9711375212224108,0.9548387096774194,0.9456869009584664,0.9502407704654894,0.0,0.0,0.0,0.9193548387096774,0.9595959595959596,0.9390444810543656
arch_wider,7,4,9962.0,2487.0,15.0,4.0,0.0269712211531717,0.3366664366962388,0.9973900823127886,0.9569762766385204,0.8450700332088088,0.8539109631310124,0.8490814946126808,0.957220719714308,4.345144271850586,0.9634551495016612,0.9797297297297296,0.9715242881072026,0.990990990990991,0.9792284866468842,0.9850746268656716,0.9493243243243245,0.9461279461279462,0.9477234401349072,0.9635761589403974,0.9509803921568628,0.9572368421052632,0.9423728813559322,0.952054794520548,0.9471890971039182,0.7580645161290323,0.8703703703703703,0.8103448275862069,0.9761092150170648,0.9694915254237289,0.9727891156462584,0.964630225080386,0.9584664536741214,0.9615384615384616,0.0,0.0,0.0,0.9421768707482994,0.9326599326599326,0.937394247038917
arch_wider,13,0,9956.0,2493.0,13.0,2.0,0.0007177408564258,0.2411058137236325,0.9909602249899558,0.9538708383473726,0.8522762852434622,0.8443095716926834,0.8479024495491382,0.9538000506141768,3.4632251262664795,0.9627118644067796,0.9594594594594594,0.961082910321489,0.9879518072289156,0.973293768545994,0.9805680119581464,0.937908496732026,0.9630872483221476,0.9503311258278144,0.9150943396226416,0.9478827361563518,0.9312,0.9565217391304348,0.9794520547945206,0.9678510998307952,0.8775510204081632,0.7818181818181819,0.8269230769230769,0.9965277777777778,0.9695945945945946,0.9828767123287672,0.9371069182389936,0.9490445859872612,0.9430379746835444,0.0,0.0,0.0,0.9513888888888888,0.9194630872483222,0.9351535836177476
arch_wider,13,1,9958.0,2491.0,14.0,3.0,0.0002741287920374,0.271330309095554,0.9970877686282386,0.955841027699719,0.8526242223327352,0.8499518830834323,0.8511359810237409,0.9557602722548636,3.898149967193603,0.97682119205298,0.9966216216216216,0.9866220735785952,0.9821428571428572,0.9792284866468842,0.9806835066864784,0.9681978798586572,0.9194630872483222,0.9432013769363168,0.9665551839464884,0.9413680781758956,0.9537953795379538,0.9387755102040816,0.9452054794520548,0.9419795221843004,0.8653846153846154,0.8333333333333334,0.8490566037735849,0.96,0.972972972972973,0.9664429530201344,0.9465408805031448,0.9616613418530352,0.9540412044374008,0.0,0.0,0.0,0.9218241042345277,0.9496644295302014,0.9355371900826446
arch_wider,13,2,9960.0,2489.0,15.0,4.0,0.0001036550643562,0.1804672917729382,0.9977911646586344,0.9578143832864604,0.8597753130891179,0.8483141554653628,0.8533424123735365,0.9575601577599728,4.25449800491333,0.972972972972973,0.972972972972973,0.972972972972973,0.9940652818991098,0.9940652818991098,0.9940652818991098,0.9427609427609428,0.9395973154362416,0.9411764705882352,0.9385113268608414,0.9477124183006536,0.9430894308943087,0.9372937293729372,0.9726027397260274,0.9546218487394956,0.9347826086956522,0.7962962962962963,0.8599999999999999,0.9570957095709572,0.9797297297297296,0.968280467445743,0.9561128526645768,0.97444089456869,0.9651898734177214,0.0,0.0,0.0,0.96415770609319,0.9057239057239056,0.934027777777778
arch_wider,13,3,9960.0,2489.0,13.0,2.0,0.0094689465548252,0.2918341191888525,0.994277108433735,0.950582563278425,0.8528108032450264,0.8424134009233433,0.8469955640829339,0.9504789393051998,3.5492331981658936,0.9825174825174824,0.9493243243243245,0.9656357388316152,0.9705014749262536,0.9762611275964392,0.9733727810650888,0.9484536082474226,0.9261744966442952,0.9371816638370118,0.9668874172185432,0.954248366013072,0.9605263157894736,0.9537366548042704,0.9178082191780822,0.9354275741710296,0.9148936170212766,0.7962962962962963,0.8514851485148516,0.9603960396039604,0.983108108108108,0.9716193656093488,0.9294478527607362,0.9680511182108626,0.9483568075117372,0.0,0.0,0.0,0.9012738853503184,0.9528619528619529,0.9263502454991815
arch_wider,13,4,9962.0,2487.0,14.0,3.0,0.0002175005071859,0.2400228803472087,0.9971893194137724,0.962203457981504,0.8604278038559038,0.8536024983801888,0.8567941157146262,0.9620818207939196,3.7928388118743896,0.9727891156462584,0.9662162162162162,0.9694915254237289,0.9794721407624634,0.9910979228486648,0.9852507374631267,0.9565217391304348,0.9629629629629628,0.959731543624161,0.9514563106796116,0.9607843137254902,0.9560975609756096,0.9493243243243245,0.9623287671232876,0.95578231292517,0.8979591836734694,0.8148148148148148,0.8543689320388349,0.9695945945945946,0.9728813559322034,0.9712351945854484,0.9612903225806452,0.952076677316294,0.956661316211878,0.0,0.0,0.0,0.9658703071672357,0.9528619528619529,0.9593220338983052
arch_wider,21,0,9956.0,2493.0,13.0,2.0,0.0011588374093951,0.1719833085492243,0.9945761349939736,0.9574809466506218,0.8580688776797093,0.8486064737595849,0.8529015899440106,0.957330109100323,3.488332986831665,0.9636963696369636,0.9864864864864864,0.9749582637729548,0.9822485207100592,0.9851632047477744,0.9837037037037036,0.9536423841059604,0.9664429530201344,0.96,0.9633333333333334,0.9413680781758956,0.9522240527182866,0.9419795221843004,0.9452054794520548,0.9435897435897436,0.9166666666666666,0.8,0.854368932038835,0.9794520547945206,0.9662162162162162,0.9727891156462584,0.9492063492063492,0.9522292993630572,0.9507154213036566,0.0,0.0,0.0,0.9304635761589404,0.9429530201342282,0.9366666666666668
arch_wider,21,1,9958.0,2491.0,14.0,3.0,0.0001424523479,0.2204219759542227,0.9982928298855192,0.9566439181051788,0.8496539056307097,0.8461715936108222,0.8477903466576521,0.9565297019930388,3.734539031982422,0.9605263157894736,0.9864864864864864,0.9733333333333332,0.984984984984985,0.973293768545994,0.9791044776119404,0.9623287671232876,0.9429530201342282,0.952542372881356,0.944078947368421,0.9348534201954396,0.939443535188216,0.9653979238754326,0.9554794520547946,0.9604130808950088,0.8235294117647058,0.7777777777777778,0.7999999999999999,0.950657894736842,0.9763513513513512,0.9633333333333334,0.967948717948718,0.9648562300319488,0.9664,0.0,0.0,0.0,0.9370860927152318,0.9496644295302014,0.9433333333333332
