perceptron,lr,seed,fold,mse_train,mse_test,accuracy,precision,recall,f1,wnorm,bias
nonlinear,0.0001,7,4,0.011048583110863,0.0116471115042275,0.7738492328218812,0.337890625,1.0,0.5051094890510949,1.752882443267756,-0.0922663792178491
nonlinear,0.0001,13,0,0.0111186821608215,0.0115487593166112,0.7641572285143238,0.3295454545454545,1.0,0.4957264957264957,1.7455579709706275,-0.106659873325274
nonlinear,0.0001,13,1,0.0113976928510867,0.0107845577501072,0.7746666666666666,0.33984375,1.0,0.5072886297376094,1.7298269195071663,-0.0924229897687388
nonlinear,0.0001,13,2,0.0109894109099838,0.0121305074892392,0.774,0.3391812865497076,1.0,0.5065502183406114,1.7732281261868177,-0.0914197991946872
nonlinear,0.0001,13,3,0.0113430122360517,0.0110120040334828,0.774,0.3391812865497076,1.0,0.5065502183406114,1.7435539559981914,-0.0896562536735909
nonlinear,0.0001,13,4,0.0113694812785162,0.0109298730550895,0.800533689126084,0.3665254237288136,1.0,0.5364341085271318,1.766103420810585,-0.0557204609004811
nonlinear,0.0001,21,0,0.011154581467112,0.0116596771514667,0.7941372418387741,0.3602484472049689,1.0,0.5296803652968036,1.7564277227292013,-0.0774123312999756
nonlinear,0.0001,21,1,0.0111483325954116,0.0116855933452178,0.7713333333333333,0.3365570599613153,1.0,0.5036179450072359,1.7488255465177793,-0.0975312260349817
nonlinear,0.0001,21,2,0.0114731986145994,0.0103660887298459,0.7753333333333333,0.3405088062622309,1.0,0.5080291970802919,1.7579986309801046,-0.0799576013448632
nonlinear,0.0001,21,3,0.011288894836144,0.0110437234796058,0.7826666666666666,0.348,1.0,0.5163204747774481,1.7425144174111409,-0.0908152745520509
nonlinear,0.0001,21,4,0.0111833596500664,0.011635520454891,0.7591727818545697,0.3239700374531835,1.0,0.4893917963224894,1.7432374721543245,-0.0920764467839839
nonlinear,0.0001,99,0,0.0112922375205541,0.0110020317320363,0.787475016655563,0.3529411764705882,1.0,0.5217391304347826,1.7506406551005436,-0.0809296232952804
nonlinear,0.0001,99,1,0.011076620067998,0.0120651532407052,0.756,0.3222222222222222,1.0,0.4873949579831933,1.7353612388419446,-0.1006380482053503
nonlinear,0.0001,99,2,0.0111031674231928,0.0116417715171737,0.7806666666666666,0.345924453280318,1.0,0.5140324963072378,1.7619939391235906,-0.0841753035730422
nonlinear,0.0001,99,3,0.0112681313954038,0.0110404987065682,0.786,0.3515151515151515,1.0,0.5201793721973094,1.748732056603862,-0.0854432089034063
nonlinear,0.0001,99,4,0.0114832751300695,0.0106656183369252,0.7745163442294863,0.3385518590998043,1.0,0.5058479532163743,1.7594574885466314,-0.084531140699806
