threshold,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0.27,869,3800,0,2831,0.49333333333333335,0.18612122510173484,1.0,0.3138317081979054,1.0,0.5730659025787965
0.28,869,3678,0,2953,0.5096,0.19111502089289642,1.0,0.32090103397341213,1.0,0.5546674709696878
0.29,869,3553,0,3078,0.5262666666666667,0.19651741293532338,1.0,0.3284823284823285,1.0,0.5358166189111748
0.3,869,3460,0,3171,0.5386666666666666,0.20073920073920073,1.0,0.3343593689880723,1.0,0.5217915849796411
0.31,869,3355,0,3276,0.5526666666666666,0.20572916666666666,1.0,0.34125269978401723,1.0,0.5059568692504901
0.32,869,3234,0,3397,0.5688,0.21179624664879357,1.0,0.34955752212389385,1.0,0.4877092444578495
0.33,869,3124,0,3507,0.5834666666666667,0.21763085399449036,1.0,0.3574660633484163,1.0,0.471120494646358
0.34,869,3024,0,3607,0.5968,0.22322116619573593,1.0,0.36497270054598907,1.0,0.4560398129995476
0.35,869,2931,0,3700,0.6092,0.2286842105263158,1.0,0.3722424502034697,1.0,0.4420147790680139
0.36,869,2845,0,3786,0.6206666666666667,0.23397953688745288,1.0,0.37922758018765,1.0,0.4290453928517569
0.37,869,2763,0,3868,0.6316,0.23926211453744495,1.0,0.3861364141301933,1.0,0.41667923390137235
0.38,869,2674,0,3957,0.6434666666666666,0.24527236804967542,1.0,0.39392565729827744,1.0,0.40325742723571106
0.39,869,2597,0,4034,0.6537333333333334,0.2507212925562608,1.0,0.40092272202998847,1.0,0.39164530236766704
0.4,869,2512,0,4119,0.6650666666666667,0.2570245489500148,1.0,0.4089411764705883,1.0,0.37882672296787817
0.41,869,2421,0,4210,0.6772,0.2641337386018237,1.0,0.4178889156047127,1.0,0.36510330266928065
0.42,869,2351,0,4280,0.6865333333333333,0.26987577639751553,1.0,0.42504279775006115,1.0,0.35454682551651334
0.43,869,2275,0,4356,0.6966666666666667,0.2763994910941476,1.0,0.4330924495389982,1.0,0.34308550746493743
0.44,869,2191,0,4440,0.7078666666666666,0.28398692810457515,1.0,0.4423517434461695,1.0,0.33041773488161663
0.45,869,2110,0,4521,0.7186666666666667,0.2917086270560591,1.0,0.4516632016632017,1.0,0.3182023827477002
0.46,869,2039,0,4592,0.7281333333333333,0.2988308115543329,1.0,0.4601535610272704,1.0,0.30749509877846476
0.47,869,1949,0,4682,0.7401333333333333,0.30837473385379705,1.0,0.4713859506373746,1.0,0.2939224852963354
0.48,869,1879,0,4752,0.7494666666666666,0.31622998544395925,1.0,0.4805087088747581,1.0,0.2833660081435681
0.49,869,1797,0,4834,0.7604,0.3259564891222806,1.0,0.49165487977369166,1.0,0.27099984919318354
0.5,869,1728,0,4903,0.7696,0.3346168656141702,1.0,0.5014425851125217,1.0,0.26059417885688435
0.51,869,1660,0,4971,0.7786666666666666,0.34361407671016214,1.0,0.5114773396115363,1.0,0.2503393153370532
0.52,869,1587,0,5044,0.7884,0.3538273615635179,1.0,0.5227067669172932,1.0,0.23933041773488162
0.53,868,1505,1,5126,0.7992,0.36578171091445427,0.998849252013809,0.5354719309068475,0.998849252013809,0.22696425878449705
0.54,868,1421,1,5210,0.8104,0.37920489296636084,0.998849252013809,0.5497150094996834,0.998849252013809,0.2142964862011763
0.55,868,1363,1,5268,0.8181333333333334,0.3890632003585836,0.998849252013809,0.5599999999999999,0.998849252013809,0.20554969084602623
0.56,868,1315,1,5316,0.8245333333333333,0.39761795693999086,0.998849252013809,0.5688073394495413,0.998849252013809,0.19831096365555723
0.57,868,1249,1,5382,0.8333333333333334,0.41001417099669346,0.998849252013809,0.5813797722705962,0.998849252013809,0.18835771376866234
0.58,868,1203,1,5428,0.8394666666666667,0.4191211974891357,0.998849252013809,0.5904761904761906,0.998849252013809,0.18142060021112955
0.59,868,1143,1,5488,0.8474666666666667,0.4316260566882148,0.998849252013809,0.6027777777777777,0.998849252013809,0.1723721912230433
0.6,867,1080,2,5551,0.8557333333333333,0.4453004622496148,0.997698504027618,0.6157670454545454,0.997698504027618,0.1628713617855527
0.61,866,1035,3,5596,0.8616,0.45554971067859024,0.996547756041427,0.6252707581227437,0.996547756041427,0.15608505504448802
0.62,866,965,3,5666,0.8709333333333333,0.4729655925723648,0.996547756041427,0.6414814814814815,0.996547756041427,0.14552857789172072
0.63,866,910,3,5721,0.8782666666666666,0.48761261261261263,0.996547756041427,0.654820415879017,0.996547756041427,0.13723420298597497
0.64,866,865,3,5766,0.8842666666666666,0.5002888503755055,0.996547756041427,0.6661538461538462,0.996547756041427,0.13044789624491027
0.65,862,803,7,5828,0.892,0.5177177177177177,0.9919447640966629,0.6803472770323599,0.9919447640966629,0.1210978736238878
0.66,861,766,8,5865,0.8968,0.5291948371235402,0.9907940161104718,0.689903846153846,0.9907940161104718,0.11551802141456793
0.67,860,735,9,5896,0.9008,0.5391849529780565,0.9896432681242808,0.6980519480519481,0.9896432681242808,0.1108430101040567
0.68,859,689,10,5942,0.9068,0.5549095607235142,0.9884925201380897,0.7107985105502689,0.9884925201380897,0.10390589654652391
0.69,858,643,11,5988,0.9128,0.5716189207195204,0.9873417721518988,0.7240506329113925,0.9873417721518988,0.0969687829889911
0.7,858,597,11,6034,0.9189333333333334,0.5896907216494846,0.9873417721518988,0.7383820998278829,0.9873417721518988,0.09003166943145831
0.71,858,541,11,6090,0.9264,0.6132952108649035,0.9873417721518988,0.7566137566137565,0.9873417721518988,0.08158648770924445
0.72,856,498,13,6133,0.9318666666666666,0.6322008862629247,0.9850402761795167,0.7701304543409806,0.9850402761795167,0.07510179460111598
0.73,853,458,16,6173,0.9368,0.6506483600305111,0.9815880322209436,0.7825688073394496,0.9815880322209436,0.0690695219423918
0.74,851,429,18,6202,0.9404,0.66484375,0.9792865362485615,0.7919962773382969,0.9792865362485615,0.06469612426481677
0.75,847,405,22,6226,0.9430666666666667,0.6765175718849841,0.9746835443037974,0.7986798679867986,0.9746835443037974,0.061076760669582265
0.76,843,383,26,6248,0.9454666666666667,0.6876019575856444,0.9700805523590333,0.8047732696897374,0.9700805523590333,0.05775901070728397
0.77,839,354,30,6277,0.9488,0.7032690695725062,0.9654775604142692,0.8137730358874878,0.9654775604142692,0.05338561302970894
0.78,833,331,36,6300,0.9510666666666666,0.7156357388316151,0.9585730724971231,0.8194786030496803,0.9585730724971231,0.049917056250942546
0.79,829,297,40,6334,0.9550666666666666,0.7362344582593251,0.953970080552359,0.8310776942355889,0.953970080552359,0.044789624491027
0.8,826,270,43,6361,0.9582666666666667,0.7536496350364964,0.950517836593786,0.8407124681933843,0.950517836593786,0.040717840446388175
0.81,819,249,50,6382,0.9601333333333333,0.7668539325842697,0.9424626006904487,0.8456375838926175,0.9424626006904487,0.03755089730055799
0.82,811,234,58,6397,0.9610666666666666,0.7760765550239235,0.9332566168009206,0.8474399164054337,0.9332566168009206,0.03528879505353642
0.83,800,213,69,6418,0.9624,0.7897334649555775,0.9205983889528193,0.8501594048884166,0.9205983889528193,0.03212185190770623
0.84,788,197,81,6434,0.9629333333333333,0.8,0.906789413118527,0.8500539374325783,0.906789413118527,0.02970894284421656
0.85,774,175,95,6456,0.964,0.815595363540569,0.8906789413118527,0.8514851485148516,0.8906789413118527,0.02639119288191826
0.86,765,154,104,6477,0.9656,0.8324265505984766,0.8803222094361335,0.8557046979865772,0.8803222094361335,0.02322424973608807
0.87,760,138,109,6493,0.9670666666666666,0.8463251670378619,0.8745684695051784,0.8602150537634409,0.8745684695051784,0.0208113406725984
0.88,755,118,114,6513,0.9690666666666666,0.8648339060710195,0.8688147295742232,0.8668197474167623,0.8688147295742232,0.017795204343236313
0.89,746,95,123,6536,0.9709333333333333,0.8870392390011891,0.8584579976985041,0.8725146198830409,0.8584579976985041,0.014326647564469915
0.9,728,87,141,6544,0.9696,0.8932515337423312,0.8377445339470656,0.8646080760095012,0.8377445339470656,0.013120193032725078
0.91,713,77,156,6554,0.9689333333333333,0.9025316455696203,0.8204833141542003,0.8595539481615433,0.8204833141542003,0.011612124868044036
0.92,698,65,171,6566,0.9685333333333334,0.9148099606815203,0.8032220943613348,0.8553921568627452,0.8032220943613348,0.009802443070426783
0.93,682,53,187,6578,0.968,0.927891156462585,0.7848101265822784,0.8503740648379052,0.7848101265822784,0.007992761272809531
0.94,663,41,206,6590,0.9670666666666666,0.9417613636363636,0.762945914844649,0.8429752066115702,0.762945914844649,0.006183079475192279
0.95,648,35,221,6596,0.9658666666666667,0.9487554904831625,0.7456846950517837,0.8350515463917526,0.7456846950517837,0.005278238576383653
0.96,619,27,250,6604,0.9630666666666666,0.958204334365325,0.7123130034522439,0.8171617161716171,0.7123130034522439,0.004071784044638818
0.97,587,14,282,6617,0.9605333333333334,0.9767054908485857,0.6754890678941312,0.798639455782313,0.6754890678941312,0.002111295430553461
0.98,550,6,319,6625,0.9566666666666667,0.9892086330935251,0.6329113924050633,0.7719298245614036,0.6329113924050633,0.0009048408988086261
0.99,452,0,417,6631,0.9444,1.0,0.520138089758343,0.684330052990159,0.520138089758343,0.0
1.0,0,0,869,6631,0.8841333333333333,0.0,0.0,0.0,0.0,0.0
