threshold,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0.67,859,613,10,6018,0.9169333333333334,0.5835597826086957,0.9884925201380897,0.7338744126441692,0.9884925201380897,0.09244457849494797
0.68,858,564,11,6067,0.9233333333333333,0.6033755274261603,0.9873417721518988,0.7490178961152336,0.9873417721518988,0.08505504448801086
0.69,858,524,11,6107,0.9286666666666666,0.6208393632416788,0.9873417721518988,0.7623278542869836,0.9873417721518988,0.07902277182928669
0.7,857,485,12,6146,0.9337333333333333,0.6385991058122206,0.9861910241657077,0.7752148349163274,0.9861910241657077,0.07314130598703061
0.71,853,447,16,6184,0.9382666666666667,0.6561538461538462,0.9815880322209436,0.7865375749193176,0.9815880322209436,0.06741064696124265
0.72,850,404,19,6227,0.9436,0.6778309409888357,0.9781357882623706,0.800753650494583,0.9781357882623706,0.06092595385311416
0.73,848,386,21,6245,0.9457333333333333,0.6871961102106969,0.9758342922899885,0.8064669519733714,0.9758342922899885,0.05821143115668828
0.74,844,351,25,6280,0.9498666666666666,0.7062761506276151,0.9712313003452244,0.8178294573643412,0.9712313003452244,0.05293319258030463
0.75,839,324,30,6307,0.9528,0.7214101461736887,0.9654775604142692,0.825787401574803,0.9654775604142692,0.04886140853566581
0.76,833,297,36,6334,0.9556,0.7371681415929203,0.9585730724971231,0.833416708354177,0.9585730724971231,0.044789624491027
0.77,827,268,42,6363,0.9586666666666667,0.7552511415525114,0.9516685845799769,0.8421588594704683,0.9516685845799769,0.040416226813451965
0.78,823,239,46,6392,0.962,0.7749529190207156,0.9470655926352128,0.8524080787156912,0.9470655926352128,0.03604282913587694
0.79,819,220,50,6411,0.964,0.7882579403272377,0.9424626006904487,0.8584905660377358,0.9424626006904487,0.033177499622982956
0.8,804,202,65,6429,0.9644,0.7992047713717694,0.9252013808975834,0.8576,0.9252013808975834,0.03046297692655708
0.81,789,189,80,6442,0.9641333333333333,0.8067484662576687,0.9079401611047181,0.8543584190579319,0.9079401611047181,0.028502488312471725
0.82,781,171,88,6460,0.9654666666666667,0.8203781512605042,0.8987341772151899,0.85777045579352,0.8987341772151899,0.025787965616045846
0.83,769,152,100,6479,0.9664,0.8349619978284474,0.8849252013808976,0.8592178770949721,0.8849252013808976,0.022922636103151862
0.84,759,130,110,6501,0.968,0.8537682789651294,0.8734177215189873,0.863481228668942,0.8734177215189873,0.019604886140853567
