threshold,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,f1_mean,f1_std,tp_total,fp_total,fn_total,tn_total
0.2,0.13626039871673853,0.0012403324355001405,1.0,0.0,0.8307933271273846,0.008486642425717146,0.23983799581331736,0.0019193919610078869,869,5509,0,1122
0.21,0.13883167887387854,0.0014829570166079483,1.0,0.0,0.8129979393067295,0.008929328760301511,0.2438112431514837,0.0022862316012706545,869,5391,0,1240
0.22,0.1413854719196584,0.001603388924344679,1.0,0.0,0.795956699299046,0.009229382399551416,0.24774013870686531,0.002462726649815897,869,5278,0,1353
0.23,0.1442026183332598,0.001731397868809261,1.0,0.0,0.7778597660152693,0.009656597699942456,0.25205383164286776,0.0026467285126061846,869,5158,0,1473
0.24,0.14713182886517068,0.0017743782415321832,1.0,0.0,0.7597635147038933,0.009347562024071956,0.2565170462075478,0.0026991884296781042,869,5038,0,1593
0.25,0.1505994112819367,0.0018352537272552255,1.0,0.0,0.7392541040530757,0.0091921020963872,0.2617711478955149,0.002775587860305526,869,4902,0,1729
0.26,0.15406992125631294,0.00187053603546349,1.0,0.0,0.7196495571157568,0.00898364603866533,0.2669981936129011,0.0028110869925465558,869,4772,0,1859
0.27,0.15816627092912577,0.002037150431667966,1.0,0.0,0.6976318508389966,0.009397934369565937,0.2731268894714084,0.0030389501046102435,869,4626,0,2005
0.28,0.16256132620531633,0.0014470570680846756,1.0,0.0,0.6751624515089206,0.005849313844002406,0.27965797812106696,0.0021439953886540058,869,4477,0,2154
0.29,0.16699612337174927,0.0014010913098712464,1.0,0.0,0.6537480634825374,0.005516539091759565,0.2861957775702857,0.0020582496162496445,869,4335,0,2296
0.3,0.17209991132402674,0.002002862032403762,1.0,0.0,0.6305230387326225,0.008091406328887857,0.29365584892999375,0.0029099167517448875,869,4181,0,2450
0.31,0.17841633973849547,0.0016573722246685176,1.0,0.0,0.6035278432281845,0.0061617005585800355,0.3028036145485003,0.0023847167870463077,869,4002,0,2629
0.32,0.18432320949364878,0.0019438285155329437,1.0,0.0,0.5800020686496151,0.006683948466201867,0.31126725716036735,0.002768753900041028,869,3846,0,2785
0.33,0.1915530953913575,0.0019956289289788792,1.0,0.0,0.5531595213008396,0.006071774590182541,0.3215136417016241,0.002814056065213606,869,3668,0,2963
0.34,0.1987905952284621,0.002466090680310428,1.0,0.0,0.5282763943209885,0.007170796676242205,0.33164483892040214,0.0034372705480087886,869,3503,0,3128
0.35,0.20603530734078235,0.0018394001344999558,1.0,0.0,0.505052051543474,0.004943000021947583,0.3416699007077336,0.002528529293184752,869,3349,0,3282
0.36,0.21416220753115717,0.0018770770211347227,1.0,0.0,0.480923186038661,0.005710738294826362,0.3527696984117428,0.0025461353260556774,869,3189,0,3442
0.37,0.22304112961920652,0.003179451226955948,1.0,0.0,0.4566424680126529,0.008925726509115689,0.3647209730213823,0.004248661265931316,869,3028,0,3603
0.38,0.23301521799967487,0.003000692791176184,1.0,0.0,0.4314574545834796,0.0073592960208102385,0.37795040743329933,0.003943095021622555,869,2861,0,3770
0.39,0.24323805237734236,0.004762796978103665,1.0,0.0,0.4079324756393775,0.010591054736671457,0.39127404007036654,0.006158049930412096,869,2705,0,3926
0.4,0.25355484136778106,0.005604049539363231,1.0,0.0,0.38606548526314477,0.011828918880399402,0.40450528874534813,0.007159120523933999,869,2560,0,4071
0.41,0.26436338151844774,0.006253807523389279,1.0,0.0,0.364952301713683,0.011879407334138692,0.4181375185040507,0.007834751238373207,869,2420,0,4211
0.42,0.2772703372233678,0.006816375479750212,1.0,0.0,0.3418794704711633,0.011603087730465637,0.43411614806225146,0.008361728574149975,869,2267,0,4364
0.43,0.2915851754463409,0.007088543791773747,1.0,0.0,0.3186554686798492,0.010911966474468116,0.4514684939503885,0.008512028191489284,869,2113,0,4518
0.44,0.307508465566391,0.008462452405633702,1.0,0.0,0.29543055759200093,0.011440954982116072,0.4703091981447442,0.009887726063277941,869,1959,0,4672
0.45,0.32124442627604205,0.008839027975293862,0.9988505747126437,0.002298850574712663,0.27688147660664175,0.01115283803448637,0.4860713818616391,0.010149250910487406,868,1836,1,4795
0.46,0.3390050060816785,0.008327430198170054,0.9988505747126437,0.002298850574712663,0.2554672022423252,0.009685851263372586,0.5061466164596535,0.009301352857039664,868,1694,1,4937
0.47,0.35822465057917097,0.012246516116437673,0.9965517241379309,0.004597701149425287,0.2343536777066632,0.011665084377720887,0.5269140554764116,0.013832563484458344,866,1554,3,5077
0.48,0.3766076993837978,0.012345324625993989,0.9919473789117003,0.005858350439076601,0.2155032785823158,0.010482549657565017,0.5458451157124754,0.013508715134566135,862,1429,7,5202
0.49,0.39714101771079485,0.01118270383147077,0.9919473789117003,0.005858350439076601,0.19755683387493309,0.008569688190594634,0.5671271460399983,0.012128054576026745,862,1310,7,5321
0.5,0.4235181605627066,0.011635179907719657,0.9873430336854694,0.006700016979218908,0.17629282076287706,0.006991096567662372,0.5927113699520635,0.012403184787418248,858,1169,11,5462
0.51,0.44540696881060127,0.01161882082394167,0.9850375390339512,0.004607828932736221,0.16091161524026457,0.007211610382575996,0.6133645802639974,0.011687207426840625,856,1067,13,5564
0.52,0.4713923090665764,0.007413435606037995,0.9815892631718823,0.002289209890059359,0.1443226365962303,0.004454658340122063,0.6368773153030166,0.006653280607717153,853,957,16,5674
0.53,0.495236929137118,0.010319590023351677,0.976991562022457,0.005118207977679136,0.13059964696562062,0.005190504759056851,0.657236195630494,0.009604684079515589,849,866,20,5765
0.54,0.5216631677401881,0.005828504091144637,0.9712377915088698,0.007248757828299439,0.11672480481381586,0.0021183888070694552,0.6787462888764312,0.006215226092909871,844,774,25,5857
0.55,0.5575500181007487,0.006226830094693055,0.9712377915088698,0.007248757828299439,0.10103989424881307,0.0028765157202206362,0.7083804868103999,0.004531260630579694,844,670,25,5961
0.56,0.5803490620056563,0.004427830798899565,0.9643345957079262,0.008419610484324092,0.09138862083584812,0.0014421270225507495,0.7246004417146266,0.0048398357290690775,838,606,31,6025
0.57,0.6153317390785371,0.003299110202595485,0.9608796757690519,0.011127918274335688,0.07872121081926481,0.0011321068223899711,0.7502054835642175,0.004681064494519494,835,522,34,6109
0.58,0.6480132346789095,0.008956915863556448,0.9505282041060396,0.009292529427910876,0.0677122440188179,0.0030684930027682763,0.770555892549457,0.004679304508352707,826,449,43,6182
0.59,0.6773913054219817,0.010583906105180452,0.9436250083050961,0.01275686969628057,0.05896503868488443,0.0034117737744005674,0.7884977358042107,0.004376974629175155,820,391,49,6240
0.6,0.7045054763347152,0.009602054737676426,0.9401700883662215,0.0156458063498387,0.05172635630102716,0.002798150650504771,0.80532061023651,0.006186477811509281,817,343,52,6288
0.61,0.7393159898448077,0.015174470440779509,0.9355723872167963,0.016770044706513703,0.04328160572674957,0.00318596595049169,0.8258417162015954,0.012999850955927268,813,287,56,6344
0.62,0.7672751903726205,0.02162850100715523,0.9309680419905654,0.014936218632263147,0.037098616618985426,0.004251251815146667,0.841113625467654,0.017057021701365586,809,246,60,6385
0.63,0.7930002082246874,0.020268377576892104,0.9148627998139658,0.017129022755319686,0.03136743422660351,0.0036476177583196854,0.8494642124425361,0.0163104698788778,795,208,74,6423
0.64,0.8142087835545073,0.017935734228443145,0.9056408212078931,0.018734725036591106,0.02714488844636458,0.0031606685442891382,0.8573338183881797,0.013960508178999723,787,180,82,6451
0.65,0.8432817927181784,0.02307784693208651,0.9010431200584679,0.02000542890109361,0.022017706276760314,0.0036444030107644874,0.8710538476592381,0.01834487876746887,783,146,86,6485
0.66,0.8601792998635727,0.02175459398695699,0.8895355790312938,0.023634452113108332,0.01900168333520876,0.0032491050927228836,0.8744415470251967,0.01898377078397809,773,126,96,6505
0.67,0.8743691887485892,0.021104218094467345,0.8791841073682811,0.026903715416157326,0.016588864981967516,0.0029792532884297994,0.8765918900554324,0.020545400200078008,764,110,105,6521
0.68,0.8975146712815982,0.021766518478597688,0.8722676234137265,0.029614387689158066,0.013120126028499626,0.003038829603152264,0.8843722878792155,0.01933294204645753,758,87,111,6544
0.69,0.9086414421852632,0.028319950124791615,0.8584545877350342,0.036829379282936156,0.011461000839962673,0.0038854963885174383,0.8821289408439581,0.021277937925555324,746,76,123,6555
0.7,0.9241072026138328,0.023053245246089,0.8446481961331473,0.04176223571118931,0.009198898387248935,0.003067756165917019,0.8818130128184313,0.02285158364449069,734,61,135,6570
0.71,0.9399666416527644,0.021682491815238486,0.8365889309680419,0.039935179671094244,0.007087966483329752,0.0027234127343915065,0.8845700984576268,0.02274800513936042,727,47,142,6584
0.72,0.9514146352644083,0.02288735849466964,0.8227891834429606,0.037470788401122335,0.0055798981815205935,0.0027233872510913576,0.8818409425836231,0.023317046315645584,715,37,154,6594
0.73,0.9609347132198478,0.022981860645363696,0.8089894359178793,0.03742586349018935,0.004373602666966734,0.002630038113702874,0.8778540503960564,0.02436162415415182,703,29,166,6602
0.74,0.9644134721935306,0.020865367963189413,0.8009235266759684,0.03697819784914527,0.0039212276412506925,0.0023562732946443964,0.8745534285660185,0.024146685202000792,696,26,173,6605
0.75,0.9721038833526204,0.017064718318561222,0.7940136867982194,0.03418626159877245,0.003016363927751844,0.0019080395863498533,0.8736333304534499,0.022267601798636842,690,20,179,6611
0.76,0.9771723162191612,0.013755214601873962,0.7847983522689522,0.036885811762968033,0.0024130456773747704,0.0014624876090497771,0.8700228945093181,0.02402847186750924,682,16,187,6615
0.77,0.9785244891383762,0.011827688850894124,0.7824928576174341,0.038626514076103034,0.0022622161147805016,0.0012620665851561872,0.8690723169208106,0.024454474550703466,680,15,189,6616
0.78,0.9810521414869241,0.009701192325894704,0.7698226031492923,0.04239544437081767,0.001960556989591965,0.0010230765121496102,0.862031936170084,0.026722933042645565,669,13,200,6618
